,category,value,ques,ans
1378,moo vin' out,$1000,by definit cattl that are describ a poll lack these,horn
1379,super,$400,thi person is in charg of repair mainten at an apart build,superintend
1380,flag of the world,$200,seen here is the flag of thi nation the home of bollywood,india
1381,month,$200,a relect by it name it wa the seventh month in the roman calendar,septemb
1382,french cuisin,$200,combin minc shallot with thi bread spread to make beurr d'echalot,butter
1383,biblic quot,$1000,genesi thirty-seven thirty-one say that sibl took hi coat and kill a kid of the goat and dip the coat in the blood,joseph
1384,presidenti trivia,$200,the monument to geo washington at thi state 's capitol contain a crypt which wa meant to be hi tomb,virginia
1385,capit k s,$400,though it 's in a valley thi nepales citi is still four three hundred freet abov sea level,kathmandu
1386,bottom up,$400,tradit the two ingredi that make a drink a flip are sugar thi,egg
1387,the color purpl,$1000,when these flower last in the dooryard bloom 'd it wa may they grew to a height of twenty foot,lilac
1388,nobel,$200,"after year of trial error nobel invent thi explos in one thousand, eight hundred and sixty-six make him a veri rich man",dynamit
1389,those darn etruscan,$400,oscar mayer could tell you that thi is the citi the etruscan call felsina,bologna
1390,letter perfect,$1000,"feng shui expert do n't care for room shape like thi letter like the one featur in a one thousand, nine hundred and sixty-two lesli caron movi",l
1391,drink,$200,tradit the turkish type of thi is made in a long handl brass pot call a jezv or ibrik,coffe
1392,brain candi,$400,it 's not cloudburst in the skull but share problem solv in which everyon contribut idea,brainstorm
1393,hide on the internet,$1000,"type in six hundred thousand, six hundred and seventy-three com bring up thi search engin in onlin leet speak",googl
1394,food drink,$400,in veal oscar the cutlet are tradit top with crayfish or thi seafood,crabmeat
1395,word from the persian,$200,thi gener term for confect love by child is from the word mean sugar,candi
1396,you'v got your border,$400,to the west louisiana to the east alabama,mississippi
1397,literari baddi,$1000,thi villain aid in a shakespear play state flatli i hate the moor,iago
1398,hall of fame,$400,old king cole could tell you there 's a gall of fame for these musician in weiser idaho,fiddler
1399,gilligan' island,$200,the island seen in the credit of gilligan 's island is in kaneoh bay near thi most popul hawaiian island,oahu
1400,the car,$400,thi compani ha excel in automak ever sinc it produc korea 's first car the poni,hyundai
1401,museum,$1000,new york citi ha mani museum like columbu circl 's mad the museum of art thi,design
1402,borough babi,$1000,befor move to the o c peter gallagh debut at lenox hill hospit here,manhattan
1403,time piec,$1000,"a href http www j archiv com medium two thousand and eleven seven twenty-five j twenty jpg target blank sarah of the clue crew present the clue from the mayer museum in jerusalem a a href http www j archiv com medium two thousand and eleven seven twenty-five j 20a jpg target blank thi a pistol which mark the hour with the sound of a shot wa made in the earli one thousand, eight hundred in thi countri fulfil it reput for clock make but not so much for peaceabl",switzerland
1404,four letter magazin,$200,it 's how you say she in franc korea romania twenty-nine other intern edit,ell
1405,holiday observ,$400,each may thi small arizona commun celebr wyatt earp day,tombston
1406,foreign languag,$200,it 's not nice to give someon the cold thi epaul in french,shoulder
1407,ancient histori,$1000,thi athenian lawmak revis most of draco 's 7th centuri b c code of justic,solon
1408,sound like a zodiac sign,$200,befor assum gigolo statu deuc bigalow clean these fish tank,aquarium
1409,medic t time,$1000,swell of the ankl may be an indic of dvt or deep vein thi,thrombosi
1410,anim film,$400,two thousand and nine carl seventy-eight tie thousand of balloon to hi hous russel eight stow away on the flight to south america,up
1411,the teen,$200,sound unlucki but there were thi mani book in lemoni snicket 's seri of unfortun event,thirteen
1412,you get an f,$400,oppon of sabin bau a world champion in thi sport might say cur foil again,fenc
1413,h ealth medicin,$1000,it 's the surgic remov of the uteru,hysterectomi
1414,anim talk,$200,rudyard kipl call thi anim 's hump an ugli lump which well you may see at the zoo,camel
1415,on the one bill,$200,total number of signatur that appear on the bill,two
1416,anniversari gift,$200,becaus salt come in thi form you could give it a a 15th anniversari gift it 's cheaper than waterford,crystal
1417,"one thousand, nine hundred and ninety-nine",$400,the nativ inuit in thi countri got a new territori nunavut,canada
1418,man d,$200,he gave up a career a a militari engin to write novel like the brother karamazov,dostoyevski
1419,n the dictionari,$400,perhap from a word for lump it 's a small lump of gold or of wisdom,nugget
1420,end in x,$200,thi salti smoke salmon tast great on a bagel,lox
1421,the jimmi carter experi,$400,"no purpl haze here in one thousand, nine hundred and eighty presid carter sign legisl to protect over one hundred million acr in thi state",alaska
1422,be afraid,$400,anthophobia is a fear of these but do n't let it vase you,flower
1423,world capit,$200,you 'll find red squar at it center,moscow
1424,you'r under a rest,$200,eastern european capit citi of more than two two million,bucharest
1425,a world of critter,$400,thi troop member seen here is one of the most color of primat,mandril
1426,the good book,$400,the book of lament is a seri of five acrost psalm bemoan the fall of thi citi,jerusalem
1427,doubl g whiz,$400,legal thi type of assault involv seriou bodili injuri,aggrav
1428,contain,$1000,it 's what 's normal carri in a metal pail call a scuttl,coal
1429,seven letter word,$400,biblic term for one of jesus' origin twelve follow,apostl
1430,in the o zone,$1000,thi group of island is just six eight mile north of the mainland of scotland,orkney
1431,word origin,$1000,the name of thi almond past confect is deriv in part from an italian word for candi box,marzipan
1432,smack dab in the middl,$400,in stori counti five mile northeast of ame,iowa
1433,all my x,$1000,maximum number of x that can appear on one bowler 's score sheet in one game,twelve
1434,let' speak french,$1000,someon who ask you parlez vou allemand ? want to know if you speak thi languag,german
1435,state capit,$1000,"thi capit wa creat when adjoin settlement east alabama alabama merg in one thousand, eight hundred and nineteen",montgomeri
1436,rhyme time,$200,one word name of a portabl dwell of nativ american especi on the great plain,teepe
1437,hous stand committe,$400,transport infrastructur is one committe thi mean anoth,way
1438,rhinocero now,$200,like mani health consciou human rhino have thi type of diet,vegetarian
1439,mytholog,$400,in nors myth fenri one of these lupin anim ha jaw so huge they stretch from heaven to earth,wolf
1440,let' get syria s,$400,cultur attract in thi citi includ the umayyad mosqu the tomb of saladin,damascu
1441,a nation of asia,$200,trendi cafe call manga kissa are place teen can go to meet read comic book in thi nation,japan
1442,i'd rather stay home,$1000,a method of treat diseas with onli minut amount of remedi,homeopathi
1443,smallvil,$200,small citi in thi state includ kinbra pop twenty-one boy river pop thirty-eight minneapoli is much bigger,minnesota
1444,mors code,$400,five dash mean noth more precis thi numer,zero
1445,stuff,$1000,"built in one thousand, eight hundred and eighteen the vulcan wa one of the first ship made primarili of thi metal",iron
1446,shop spree,$400,maud frizon manolo blahnik salvator ferragamo are best known for design these,shoe
1447,biblic crime blotter,$400,wife of ahab thi baal worship harlot wa last seen in jezreel,jezebel
1448,get a job,$1000,a chandler is someon who make these illumin item,candl
1449,who wrote it ?,$1000,a 19th centuri german philosoph god is dead,nietzsch
1450,the appl of my eye,$1000,thi speedi mac softwar let you watch movi or graphic on your pc or mac comput,quicktim
1451,coffe talk,$1000,one type of thi salad plant is roast use a a coffe substitut particularli in louisiana,chicori
1452,g forc,$1000,thi edibl export from holland come in wheel that may weigh twenty-five pound,gouda
1453,blame it on the casanova,$1000,a battleship in histori cinema wa name for thi princ lover of catherin the great,potemkin
1454,word origin,$400,thi sport deriv it name from the word associ a in associ footbal,soccer
1455,salli goe to space camp,$200,look to the futur salli found out what it might be like to travel to thi neighbor planet like sojourn,mar
1456,the commodor,$200,the first american naval victori in the revolut came under commodor esek hopkin in these island off fla,bahama
1457,histor date,$1000,"the accid of april twenty-five twenty-six one thousand, nine hundred and eighty-six at thi facil wa caus by a poorli design experi at it reactor unit four",chernobyl
1458,comput one hundred and one,$400,the mani version of window are the flagship product of thi compani,microsoft
1459,not to be confus,$200,a fusil is a light flintlock firearm fusilli is a type of thi,pasta
